id,category,bank_hint,hit@5,hit@10,top1_hit,top1_score,n_docs,question,hit_keywords
F04,fact,standards,True,True,True,1.6843637259570263,3,信息安全技术网络安全等级保护测评要求的国家标准编号是什么？,GB/T 28448-2019
F01,fact,standards,False,False,False,1.706646049814981,1,数据中心机房的温度要求范围是多少？,
F09,fact,standards,False,False,False,1.6166852846456579,3,低压配电设计规范的国家标准编号是什么？,
F08,fact,standards,False,False,False,1.6438324492276866,1,声环境功能区中1类区昼间和夜间环境噪声限值分别是多少？,
F17,fact,standards,True,True,True,1.5705489901154,4,建筑照明设计标准对应的国家标准编号是什么？,GB 50034
F03,fact,standards,True,True,True,1.3324144622649867,4,网络安全等级保护基本要求对应的国家标准编号是什么？,GB/T 22239-2019
F12,fact,standards,False,False,False,1.6281108470123336,1,电影院观众厅的混响时间宜为多少？,
F02,fact,standards,False,False,False,0.0,0,数据中心设计规范的国家标准编号是什么？,
fee_v7_008,fee,industry,True,True,False,0.0,0,验收测评费怎么计算？请列出省指导书表5-49的完整费率档位。,V=D×g×(1-Z)
fee_v7_004,fee,mixed,True,True,False,0.0,0,500万软件项目验收测评费，省指导书、佛山和东莞分别应怎么说？,V=D×g×(1-Z)
NF02,fee,industry,False,False,False,0.0,0,弱电设计费取费标准按什么文件执行？,
fee_v7_002,fee,industry,False,True,False,0.0,1,3000万政务信息化项目按省指导书表5-49计算验收评测费，费率和金额分别是多少？,表5-49/V=D×g×(1-Z)
NF01,fee,industry,False,False,False,1.5976051422191369,2,三级等保测评收费标准是多少？,
fee_v7_003,fee,industry,False,True,False,0.0,1,省电子政务工程造价指导书中，8000万项目验收测评费按表5-49估算是多少？,表5-49/V=D×g×(1-Z)
C03,cross,industry_docs,False,False,False,0.0,0,东莞市政府投资信息化项目的造价编制依据引用了哪些国家或行业标准？,
C07,cross,standards,True,True,False,1.616602751567725,1,等保2.0中安全管理中心的要求与安全通信网络的关系,安全区域边界/集中管控
C08,cross,industry_docs,True,True,True,0.0,0,信息化测评中，功能点估算方法与造价指南中的费率表如何配合使用？,功能点计数
C01,cross,standards,True,True,True,1.6511231284309371,1,建筑弱电工程中的火灾报警系统与供配电系统的联动要求有哪些？,消防联动
C09,cross,general,False,False,False,1.4984926699621413,2,WiFi 2.4GHz与5GHz频段在规划和部署上的主要差异,
C04,cross,standards,True,True,False,1.0155336508052772,1,不同声学功能区（剧场/电影院/厅堂）的声学设计规范差异有哪些？,混响时间/噪声限值
NB25,open,咨询,False,False,False,1.715715933020848,1,咨询资料中对数据中心项目规划阶段有哪些重点关注事项？,
O14,open,business,True,True,False,1.591343879699712,2,信息化测评室内部工作流程中原始记录有哪些填写要求？,问题描述
O08,open,standards,True,True,True,1.619842360583243,2,信息安全等级保护2.0相比1.0有哪些主要变化？,可信计算
NB22,open,industry,False,False,False,1.6117102564818155,1,从行业资料角度说明数据中心PUE的含义、影响因素和常见优化方向，不要引用标准条文。,
O10,open,standards,False,False,False,1.590916734087738,2,网络安全法中对不履行网络安全保护义务的单位和个人有哪些处罚措施？,
O05,open,standards,True,True,False,0.0,0,信息安全等级保护中不同等级的安全保护能力差异体现在哪些方面？,侵害客体
NE18,edge,all,False,False,False,,0,,
NE21,edge,standards,False,False,False,1.5992147208357548,4,弱电设计,
NR14,rejection,standards,False,False,False,1.6775072994501194,1,普通办公楼机房的防火分区应该怎么设计？,
R25,rejection,industry_docs,False,False,False,1.4922421109533182,2,学校礼堂混响时间不达标的整改施工预算每平方米多少钱？,
